# Please take the real part 
                  # kx (1/A)                    ky (1/A)                    kz (1/A)               real(Omega_x)               real(Omega_y)               real(Omega_z)
           -0.5506713110E+00           -0.4972557723E+00            0.0000000000E+00           -0.3898902686E+01           -0.5067395748E-03           -0.4467158562E+01
           -0.5506713110E+00           -0.4873106568E+00            0.0000000000E+00           -0.4137048009E+01           -0.9313716808E-03           -0.4607604039E+01
           -0.5506713110E+00           -0.4773655414E+00            0.0000000000E+00           -0.4369775783E+01           -0.1307027125E-02           -0.4744914905E+01
           -0.5506713110E+00           -0.4674204260E+00            0.0000000000E+00           -0.4595635282E+01           -0.1619481517E-02           -0.4878144373E+01
           -0.5506713110E+00           -0.4574753105E+00            0.0000000000E+00           -0.4813200722E+01           -0.1855414353E-02           -0.5006321626E+01
           -0.5506713110E+00           -0.4475301951E+00            0.0000000000E+00           -0.5021095436E+01           -0.2003255453E-02           -0.5128462963E+01
           -0.5506713110E+00           -0.4375850796E+00            0.0000000000E+00           -0.5218017193E+01           -0.2054037504E-02           -0.5243582526E+01
           -0.5506713110E+00           -0.4276399642E+00            0.0000000000E+00           -0.5402763837E+01           -0.2002190876E-02           -0.5350701761E+01
           -0.5506713110E+00           -0.4176948487E+00            0.0000000000E+00           -0.5574258149E+01           -0.1846214285E-02           -0.5448856648E+01
           -0.5506713110E+00           -0.4077497333E+00            0.0000000000E+00           -0.5731570613E+01           -0.1589158225E-02           -0.5537101542E+01
           -0.5506713110E+00           -0.3978046178E+00            0.0000000000E+00           -0.5873938447E+01           -0.1238867506E-02           -0.5614508276E+01
           -0.5506713110E+00           -0.3878595024E+00            0.0000000000E+00           -0.6000779018E+01           -0.8079439922E-03           -0.5680159041E+01
           -0.5506713110E+00           -0.3779143869E+00            0.0000000000E+00           -0.6111695470E+01           -0.3134093169E-03           -0.5733131413E+01
           -0.5506713110E+00           -0.3679692715E+00            0.0000000000E+00           -0.6206472169E+01            0.2239320162E-03           -0.5772473859E+01
           -0.5506713110E+00           -0.3580241561E+00            0.0000000000E+00           -0.6285057331E+01            0.7804083680E-03           -0.5797170143E+01
           -0.5506713110E+00           -0.3480790406E+00            0.0000000000E+00           -0.6347530079E+01            0.1330636695E-02           -0.5806091344E+01
           -0.5506713110E+00           -0.3381339252E+00            0.0000000000E+00           -0.6394049094E+01            0.1848865069E-02           -0.5797934936E+01
           -0.5506713110E+00           -0.3281888097E+00            0.0000000000E+00           -0.6424780197E+01            0.2310438511E-02           -0.5771151587E+01
           -0.5506713110E+00           -0.3182436943E+00            0.0000000000E+00           -0.6439800668E+01            0.2693317529E-02           -0.5723862583E+01
           -0.5506713110E+00           -0.3082985788E+00            0.0000000000E+00           -0.6438979266E+01            0.2979572428E-02           -0.5653774204E+01
           -0.5506713110E+00           -0.2983534634E+00            0.0000000000E+00           -0.6421833184E+01            0.3156767211E-02           -0.5558100732E+01
           -0.5506713110E+00           -0.2884083479E+00            0.0000000000E+00           -0.6387367222E+01            0.3219130502E-02           -0.5433515294E+01
           -0.5506713110E+00           -0.2784632325E+00            0.0000000000E+00           -0.6333907288E+01            0.3168383723E-02           -0.5276157734E+01
           -0.5506713110E+00           -0.2685181170E+00            0.0000000000E+00           -0.6258950616E+01            0.3014058867E-02           -0.5081740288E+01
           -0.5506713110E+00           -0.2585730016E+00            0.0000000000E+00           -0.6159069282E+01            0.2773097403E-02           -0.4845802527E+01
           -0.5506713110E+00           -0.2486278861E+00            0.0000000000E+00           -0.6029920283E+01            0.2468500327E-02           -0.4564171065E+01
           -0.5506713110E+00           -0.2386827707E+00            0.0000000000E+00           -0.5866430077E+01            0.2126838134E-02           -0.4233667484E+01
           -0.5506713110E+00           -0.2287376553E+00            0.0000000000E+00           -0.5663224801E+01            0.1774586279E-02           -0.3853067058E+01
           -0.5506713110E+00           -0.2187925398E+00            0.0000000000E+00           -0.5415355218E+01            0.1433579266E-02           -0.3424230253E+01
           -0.5506713110E+00           -0.2088474244E+00            0.0000000000E+00           -0.5119303255E+01            0.1116371612E-02           -0.2953210584E+01
           -0.5506713110E+00           -0.1989023089E+00            0.0000000000E+00           -0.4774150771E+01            0.8228260826E-03           -0.2451015698E+01
           -0.5506713110E+00           -0.1889571935E+00            0.0000000000E+00           -0.4382663081E+01            0.5395194972E-03           -0.1933629290E+01
           -0.5506713110E+00           -0.1790120780E+00            0.0000000000E+00           -0.3951947407E+01            0.2431796272E-03           -0.1420974604E+01
           -0.5506713110E+00           -0.1690669626E+00            0.0000000000E+00           -0.3493365939E+01           -0.9186196248E-04           -0.9347654461E+00
           -0.5506713110E+00           -0.1591218471E+00            0.0000000000E+00           -0.3021560276E+01           -0.4839921772E-03           -0.4955931285E+00
           -0.5506713110E+00           -0.1491767317E+00            0.0000000000E+00           -0.2552737293E+01           -0.9356481195E-03           -0.1199597296E+00
           -0.5506713110E+00           -0.1392316162E+00            0.0000000000E+00           -0.2102642322E+01           -0.1429013243E-02            0.1819245048E+00
